Date,Open,High,Low,Close
2020-11-11,119.6500015258789,121.58999633789062,119.41000366210938,121.26000213623047
2020-11-12,121.26000213623047,121.86000061035156,119.62000274658203,120.18000030517578
2020-11-13,121.08999633789062,121.44999694824219,119.94999694824219,121.19999694824219
2020-11-16,121.20999908447266,122.58999633789062,120.95999908447266,122.37000274658203
2020-11-17,121.76000213623047,122.3499984741211,121.16999816894531,121.69000244140625
2020-11-18,121.4800033569336,122.05999755859375,120.33999633789062,120.38999938964844
2020-11-19,120.1500015258789,121.58000183105469,119.62000274658203,121.36000061035156
2020-11-20,121.47000122070312,121.5,120.06999969482422,120.11000061035156
2020-11-23,120.4800033569336,121.2699966430664,119.04000091552734,120.08000183105469
2020-11-24,120.54000091552734,121.98999786376953,119.66999816894531,121.75
2020-11-25,122.16999816894531,122.5199966430664,121.55000305175781,122.01000213623047
2020-11-27,122.66000366210938,123.18000030517578,122.43000030517578,122.66000366210938
2020-11-30,122.62000274658203,123.66000366210938,121.2300033569336,123.4800033569336
2020-12-01,124.5,125.75,123.9800033569336,125.05999755859375
2020-12-02,124.52999877929688,125.01000213623047,123.58999633789062,124.87000274658203
2020-12-03,125.01000213623047,125.62999725341797,124.45999908447266,124.79000091552734
2020-12-04,124.97000122070312,126.05999755859375,124.69999694824219,126.04000091552734
2020-12-07,126.11000061035156,126.7699966430664,125.88999938964844,126.4000015258789
2020-12-08,126.27999877929688,127.20999908447266,125.73999786376953,126.80999755859375
2020-12-09,126.7300033569336,127.11000061035156,123.94999694824219,124.37999725341797
2020-12-10,123.62000274658203,125.1500015258789,123.33000183105469,124.55999755859375
2020-12-11,123.80999755859375,124.30000305175781,122.9000015258789,124.30000305175781
2020-12-14,124.68000030517578,125.87000274658203,124.5999984741211,124.75
2020-12-15,126.0999984741211,126.83000183105469,125.29000091552734,126.83000183105469
2020-12-16,127.0,128.13999938964844,126.58000183105469,127.69000244140625
2020-12-17,128.6199951171875,128.97999572753906,128.08999633789062,128.6999969482422
2020-12-18,128.88999938964844,128.91000366210938,127.43000030517578,128.25
2020-12-21,126.33000183105469,128.13999938964844,125.19999694824219,128.0800018310547
2020-12-22,128.7899932861328,129.77000427246094,128.1999969482422,129.19000244140625
2020-12-23,129.33999633789062,129.42999267578125,128.02000427246094,128.2100067138672
2020-12-24,128.42999267578125,129.3800048828125,128.33999633789062,129.05999755859375
2020-12-28,130.33999633789062,130.77999877929688,129.72999572753906,130.52000427246094
2020-12-29,131.22999572753906,131.39999389648438,129.6699981689453,129.89999389648438
2020-12-30,130.35000610351562,130.6199951171875,129.63999938964844,129.8300018310547
2020-12-31,129.88999938964844,130.38999938964844,128.97000122070312,130.02000427246094
2021-01-04,130.67999267578125,130.7100067138672,126.23999786376953,127.9000015258789
2021-01-05,127.61000061035156,128.94000244140625,127.52999877929688,128.72999572753906
2021-01-06,126.88999938964844,128.97999572753906,126.12000274658203,126.51000213623047
2021-01-07,127.7300033569336,130.1699981689453,127.68000030517578,129.9199981689453
2021-01-08,130.55999755859375,131.11000061035156,129.27999877929688,130.75999450683594
2021-01-11,129.49000549316406,130.60000610351562,129.13999938964844,129.67999267578125
2021-01-12,129.52000427246094,129.69000244140625,127.83000183105469,129.05999755859375
2021-01-13,129.22999572753906,130.27999877929688,128.97999572753906,129.8800048828125
2021-01-14,130.1999969482422,130.47000122070312,128.5500030517578,128.74000549316406
2021-01-15,128.5500030517578,129.1199951171875,127.16000366210938,127.41999816894531
2021-01-19,128.3000030517578,129.3000030517578,127.8499984741211,129.0800018310547
2021-01-20,130.07000732421875,132.10000610351562,129.88999938964844,131.63999938964844
2021-01-21,132.35000610351562,133.77999877929688,131.63999938964844,133.33999633789062
2021-01-22,132.77999877929688,133.5,132.50999450683594,132.8300018310547
2021-01-25,134.3300018310547,134.7899932861328,130.6999969482422,133.94000244140625
2021-01-26,134.41000366210938,134.6199951171875,133.52000427246094,134.02999877929688
2021-01-27,133.38999938964844,133.82000732421875,130.30999755859375,131.5
2021-01-28,132.1699981689453,134.24000549316406,131.72000122070312,132.0399932861328
