,Open,High,Low,Close
2024-01-01,99.75338908662384,100.4932218267523,99.5067781732477,100.0
2024-01-02,99.88968512304874,100.3415930637376,99.7390491428191,100.04032110327836
2024-01-03,100.11148151324004,100.79385342470312,99.88402420941901,100.33893881706106
2024-01-04,98.29151062051841,98.99499349732619,98.05701632824915,98.52600491278767
2024-01-05,98.80075549864864,99.29931892772721,98.63456768895578,98.9669433083415
2024-01-06,98.81808911680956,98.99019589863956,98.76072018953292,98.87545804408623
2024-01-07,100.50696229795352,100.88873024482433,100.37970631566326,100.63421828024379
2024-01-08,101.19173016130495,101.32504152708131,101.14729303937948,101.2361672832304
2024-01-09,99.89375796204958,100.0997661705175,99.82508855922693,99.96242736487221
2024-01-10,100.46393735302327,100.75196393904807,100.367928491015,100.55994621503153
2024-01-11,101.30375853959328,101.43599991667394,101.25967808056639,101.34783899862016
2024-01-12,100.96829245104001,101.20729270669075,100.88862569915644,101.0479592029236
2024-01-13,101.45523438972357,102.04089556895632,101.26001399664598,101.65045478280115
2024-01-14,100.05124349609119,100.2680148725746,99.97898637059673,100.12350062158566
2024-01-15,98.86825512588588,99.2498138024905,98.74106890035101,98.99544135142075
2024-01-16,98.31209669460337,98.31712303054437,98.3104212492897,98.31377213991703
2024-01-17,98.44390278511848,98.87130210907297,98.3014363438003,98.58636922643664
2024-01-18,97.33594492158691,97.56925795964936,97.25817390889944,97.41371593427439
2024-01-19,96.46059655235933,96.54224294192933,96.43338108916933,96.48781201554934
2024-01-20,96.71405333709785,96.80101788706337,96.68506515377602,96.7430415204197
2024-01-21,96.47015726726767,96.76490354575654,96.37190850777137,96.56840602676395
2024-01-22,96.09607334736816,96.54630127825551,95.94599737040572,96.24614932433062
2024-01-23,95.51976070502108,96.20957650467383,95.28982210513684,95.74969930490533
2024-01-24,95.77013802463308,96.06295895447175,95.67253104802019,95.86774500124598
2024-01-25,95.4170439614481,95.76247998907003,95.30189861890746,95.53218930398874
2024-01-26,94.99072743321751,95.35956844468089,94.86778042939639,95.11367443703864
2024-01-27,94.33725152886406,94.99518463929921,94.11794049205234,94.55656256567578
2024-01-28,95.16543175710648,95.3633412001742,95.09946194275057,95.23140157146238
2024-01-29,95.00625861797222,95.55097305965103,94.82468713741261,95.18783009853182
2024-01-30,96.0865978957207,96.68789308788128,95.88616616500052,96.2870296264409
2024-01-31,96.36883417678402,96.90285741929291,96.19082642928105,96.54684192428698
2024-02-01,96.55241843705267,97.12788967924446,96.3605946896554,96.74424218444993
2024-02-02,97.98540961642674,98.36585485194806,97.85859453791963,98.11222469493384
2024-02-03,98.14945319842596,98.73897725716267,97.95294517884705,98.34596121800486
2024-02-04,99.48388994354536,100.11395466886759,99.27386836843793,99.69391151865277
2024-02-05,101.10340601160009,101.43949200565788,100.99137734691416,101.21543467628602
2024-02-06,100.86770680376243,101.3170192635023,100.71793598384915,101.01747762367572
2024-02-07,101.07526526530157,101.30408335145896,100.99899256991577,101.15153796068736
2024-02-08,100.10535733575101,100.54800141598479,99.9578093090064,100.2529053624956
2024-02-09,99.23048090336812,99.84930497350392,99.02420621332286,99.43675559341338
2024-02-10,98.47181005920253,98.81806419530324,98.35639201383563,98.58722810456943
2024-02-11,98.3664708906708,98.53422149247723,98.31055402340196,98.4223877579396
2024-02-12,98.84936098899807,99.18179319018796,98.7385502552681,98.96017172272803
2024-02-13,100.1086577412734,100.54659271326163,99.96267941727733,100.25463606526948
2024-02-14,99.32283532248134,99.70903242660165,99.19410295444123,99.45156769052144
2024-02-15,101.25084337045642,101.682897036057,101.10682548192291,101.39486125898995
2024-02-16,99.6904947336628,100.11750672270605,99.54815740398173,99.83283206334389
2024-02-17,100.01198984480786,100.35600912360118,99.89731675187674,100.12666293773897
2024-02-18,97.41133528833616,97.68454484696197,97.32026543546088,97.50240514121143
2024-02-19,97.40268269825675,97.91620072223661,97.23151002359681,97.57385537291671
2024-02-20,97.54116122750828,97.71718688174047,97.48248600943089,97.59983644558568
2024-02-21,97.17882353723809,97.88635633159069,96.9429792724539,97.4146678020223
2024-02-22,98.19321043174264,98.78386889670786,97.99632427675424,98.39009658673105
2024-02-23,97.4511371380675,97.97841840400625,97.27537671608792,97.62689756004708
2024-02-24,97.32425400661994,97.88459096347377,97.137475021002,97.51103299223789
2024-02-25,97.61998896718225,98.27461195653184,97.40178130406571,97.83819663029878
2024-02-26,97.78111511217804,97.98436270116548,97.71336591584888,97.84886430850719
2024-02-27,98.27122353601423,98.39715735013732,98.2292455979732,98.31320147405526
2024-02-28,96.88105032763144,97.35619873831477,96.72266752407032,97.03943313119255
2024-02-29,97.51365767521308,98.11290464461014,97.31390868541406,97.7134066650121
2024-03-01,96.70798470044187,96.7379901517966,96.69798288332362,96.7179865175601
2024-03-02,97.81539771379387,97.92202014319047,97.77985690399501,97.85093852359273
2024-03-03,97.18119516098601,97.50361853856748,97.07372070179217,97.28866962017983
2024-03-04,97.29108456886338,97.45318741085076,97.23705028820093,97.34511884952585
2024-03-05,96.49386356751289,96.64792380932234,96.44251015357641,96.54521698144937
2024-03-06,96.3119827362001,96.32206263278293,96.30862277067249,96.3153427017277
2024-03-07,96.13660083163819,96.3945336664085,96.0506232200481,96.2225784432283
2024-03-08,96.17135929817121,96.24159617537359,96.1479470057704,96.194771590572
2024-03-09,96.54860460544047,96.92142376022743,96.42433155384481,96.67287765703612
2024-03-10,96.33348011743279,96.87242011321987,96.15383345217045,96.51312678269515
2024-03-11,97.88254056151528,97.88932577694527,97.88027882303861,97.88480229999195
2024-03-12,96.62579699202378,96.65639271371987,96.61559841812507,96.63599556592247
2024-03-13,96.34430455973019,96.48544543443226,96.29725760149616,96.39135151796421
2024-03-14,96.22200584271599,96.6935900818722,96.06481109633057,96.37920058910139
2024-03-15,96.55475180152969,96.8430337711648,96.4586578116513,96.65084579140806
2024-03-16,96.03691343645279,96.05706929653688,96.03019481642475,96.04363205648082
2024-03-17,97.4389698521766,98.13660482034791,97.20642486278616,97.67151484156703
2024-03-18,98.1243105757293,98.74984978357479,97.91579750644748,98.33282364501113
2024-03-19,99.08569372870288,99.10639847145643,99.07879214778502,99.09259530962073
2024-03-20,98.55376766052771,98.56532889124816,98.54991391695422,98.5576214041012
2024-03-21,97.71942261116456,98.30840503741977,97.52309513574615,97.91575008658296
2024-03-22,95.91238583932028,96.26946358258921,95.79335992489729,96.03141175374326
2024-03-23,95.34274843879072,95.69496873602354,95.22534167304644,95.460155204535
2024-03-24,95.3101171248579,95.74968993488696,95.1635928548482,95.45664139486759
2024-03-25,94.52377866382355,94.9530077910685,94.38070228807526,94.66685503957187
2024-03-26,94.28133811527749,94.80912614196104,94.10540877304963,94.45726745750534
2024-03-27,94.27783971300612,94.71895452636234,94.13080144188739,94.42487798412486
2024-03-28,93.79432200268391,94.00235017311779,93.72497927920597,93.86366472616187
2024-03-29,93.0078667673778,93.03755418507728,92.99797096147798,93.01776257327764
2024-03-30,92.72424461146672,93.31595165309514,92.52700893092388,92.92148029200952
2024-03-31,92.34849442844512,92.79324574627874,92.20024398916725,92.496744867723
2024-04-01,93.20853327873397,93.71380718377328,93.04010864372087,93.37695791374708
2024-04-02,92.7706192537615,93.23768718026024,92.61492994492859,92.92630856259441
2024-04-03,93.43077518341838,93.95683638262044,93.25542145035102,93.60612891648573
2024-04-04,92.966571822701,93.0344332433566,92.94395134914912,92.98919229625287
2024-04-05,93.3095562671842,93.37103910164933,93.28906198902915,93.33005054533925
2024-04-06,92.23235477109068,92.3415214513117,92.19596587768368,92.26874366449769
2024-04-07,92.15860515384813,92.79917078489977,91.94508327683091,92.37212703086534
2024-04-08,92.59526602473512,93.17728803566423,92.40125868775876,92.7892733617115
2024-04-09,93.20123727837804,93.66436715996028,93.04686065118398,93.35561390557213
2024-04-10,94.21193781300568,94.31578538532892,94.17732195556458,94.24655367044676
2024-04-11,93.65732884716599,94.35895738960109,93.4234526663543,93.89120502797769
