withdrawal_rate,mean_bank,std_bank,abs_mean_bank,balance_score,margin_usage_pct,bank_min,bank_max,total_return,final_value,total_withdrawn
0.15000000000000002,3665.1764445619565,5090.384521902646,3665.1764445619565,6210.36870551328,0.0,0.0,10812.938385636407,0.13450518181739074,260924.8529982048,31169.076719812794
0.14,3798.929421726716,5068.753444075649,3798.929421726716,6333.306143764541,0.0,0.0,10752.875875422105,0.1446707902716122,263262.84134243254,29091.13827182528
0.13,4194.217393834278,5239.457301430535,4194.217393834278,6813.946044549545,0.0,0.0,11197.05335544218,0.15439555341853,265499.4396720119,27013.199823837756
0.12000000000000002,4943.086082756149,5663.946901742199,4943.086082756149,7775.059533627249,0.0,0.0,12141.570831800142,0.16379130247533383,267660.3680491986,24935.26137585023
0.11000000000000001,5561.481206440165,5966.478149082326,5561.481206440165,8544.720280981328,0.0,0.0,12837.868306937406,0.17328588222685765,269844.02649840683,22857.32292786271
0.1,6302.494895274843,5929.940603047176,6302.494895274843,9267.465196798432,0.0,0.0,13534.165782074662,0.18252766832100567,271969.5449329666,20779.384479875192
0.09000000000000001,7180.668587771628,6082.4811950345875,7180.668587771628,10221.909185288921,0.0,0.0,14504.783264536138,0.19167605913729094,274073.58338705765,18701.44603188768
0.08000000000000002,8152.172277739825,6338.832000020189,8152.172277739825,11321.588277749921,0.0,0.0,15449.300740894107,0.20071096673482675,276151.52183504513,16623.507583900155
0.07,8893.185966574503,6591.7378635545965,8893.185966574503,12189.054898351802,0.0,0.0,16145.598216031363,0.20995275282897502,278277.04026960494,14545.56913591264
0.060000000000000005,9634.199655409187,6917.97747199225,9634.199655409187,13093.188391405312,0.0,0.0,16841.895691168625,0.2191945389231233,280402.55870416475,12467.630687925115
0.05,10375.213344243866,7307.735890684525,10375.213344243866,14029.081289586129,0.0,0.0,17538.193166305886,0.22843632501727132,282528.0771387245,10389.692239937596
0.04,11346.717034212053,7865.114463580303,11346.717034212053,15279.274266002205,0.0,0.0,18482.710642663846,0.23747123261480735,284606.01558671205,8311.753791950076
0.03,12087.730723046732,8355.736156487419,12087.730723046732,16265.598801290442,0.0,0.0,19179.00811780111,0.2467130187089554,286731.5340212718,6233.815343962556
